Disease,OrphaCode,Query,Count
Methylmalonic acidemia with homocystinuria,26,(homocystinuria+OR+cystathionine+beta+synthase+deficiency%5Btw%5D)+(methylmalonic+acid+OR+methylmalonic+aciduria%5Btw%5D),268
Autosomal dominant spastic paraplegia type 42,171863,,0
Intellectual disability-cataracts-kyphosis syndrome,171860,,0
Renal pseudohypoaldosteronism type 1,171871,,0
Exstrophy-epispadias complex,322,%28%28Exstrophy%5Btw%5D+AND+bladder%5Bti%5D%29+OR+Bladder+Exstrophy%5Bmh%5D%29+AND+%28epispadias%5Bmh%5D+OR+epispadias%5Bti%5D%29,471
"Spondyloepimetaphyseal dysplasia, aggrecan type",171866,,0
Gastroschisis,2368,gastroschisis,2604
Cap myopathy,171881,,0
Autosomal recessive primary microcephaly,2512,Microcephalia+vera%5Btw%5D+OR+%28%28microcephaly%5Bmh%5D+OR+microcephaly%5Btw%5D%29+AND+gyral%5Btw%5D+AND+pattern%5Btw%5D%29,102
Generalized pseudohypoaldosteronism type 1,171876,,0
Myopathy with hexagonally cross-linked tubular arrays,171889,,0
Sarcoidosis,797,%22sarcoidosis%22%5BMeSH+Terms%5D+OR+%28Sarcoidosis%5BTi%5D+NOT+medline%5Bsb%5D%29,27201
Cylindrical spirals myopathy,171886,,0
Amelogenesis imperfecta-gingival hyperplasia syndrome,171836,,0
6q16 microdeletion syndrome,171829,,0
Atresia of small intestine,1201,,0
Blindness-scoliosis-arachnodactyly syndrome,171844,,0
Craniosynostosis-hydrocephalus-Arnold-Chiari malformation type I-radioulnar synostosis syndrome,171839,,0
Larynx atresia,1202,laryngeal+atresia*%5Btw%5D+OR+%28larynx/ab+%28abnormalit*%5Bti%5D+OR+malformation*%5Bti%5D%29+%28larynx%5Bti%5D+OR+laryngeal%5Bti%5D%29%29,171
Esophageal atresia,1199,esophageal+atresia%5BTi%5D+OR+oesophageal+atresia%5BTi%5D+OR+%22esophageal+atresia%22%5BMH%5D,3989
MEDNIK syndrome,171851,,0
Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome,171848,,0
Brucellosis,1304,brucellosis%5Bmajr%5D,11639
Cholera,173,%28cholera%5BMajr%5D+OR+Cholera%5BTi%5D%29+AND+%28humans+OR+child+OR+patient*%29,6869
Familial chondromalacia patellae,1428,Chondromalacia+patellae,368
Tetralogy of Fallot,3303,%22tetralogy+of+fallot%22%5BMeSH+Terms%5D+OR+Tetralogy+of+Fallot%5BTi%5D+OR+Fallot%27s+Tetralogy%5Bti%5D,10012
Immunodeficiency with factor I anomaly,200418,,0
Autosomal dominant polycystic kidney disease,730,,0
Immunodeficiency with factor H anomaly,200421,,0
Autosomal dominant severe congenital neutropenia,486,Kostmann+syndrome%5Btw%5D+OR+Kostmann%27s+syndrome%5Btw%5D+OR+infantile+genetic+agranulocytosis%5Btw%5D,124
Tricuspid atresia,1209,%22tricuspid+atresia%22%5BMajr%5D+OR+Tricuspid+atresia%5BTi%5D,848
Isolated encephalocele,199647,,0
Autosomal recessive spastic ataxia of Charlevoix-Saguenay,98,Spastic+ataxia+charlevoix+saguenay,211
Interatrial communication,1478,heart+septal+defects%2C+atrial%5Bmajr%5D+OR+Atrial+septal+defect*%5Bti%5D+OR+atrial+heart+septal+defect*%5Bti%5D,12476
Congenital factor XII deficiency,330,factor+xii+deficiency%5Bmh%5D+OR+factor+XII+deficiency%5Bti%5D+OR+hageman+factor+deficiency%5Bti%5D,484
Gonococcal conjunctivitis,1482,,0
Evans syndrome,1959,Evans+syndrome%5Btw%5D+OR+%28Anemia%2CHemolytic%2CAutoimmune+AND+Purpura%2CThrombocytopenic%2CIdiopathic%29,926
Alveolar echinococcosis,284,echinococcosis%2C+pulmonary%5Bmajr%5D+OR+%28alveolar%5Bti%5D+echinococcosis%5Bti%5D%29,2968
Early-onset cerebellar ataxia with retained tendon reflexes,1177,%28%28cerebellar+ataxia+OR+Spinocerebellar+Degenerations%29+AND+retained+tendon+reflex*%5Btw%5D+NOT+Friedreich+Ataxia%5Bmh%5D%29+OR+eoca%5Btw%5D,49
Stickler syndrome,828,Stickler%5Btw%5D+AND+%28%22syndrome%22%5BMeSH+Terms%5D+OR+syndrome%5BTW%5D+OR+%22disease%22%5BMeSH+Terms%5D+OR+disease%5Btw%5D+OR+diseases%5Btw%5D%29,469
Congenital herpes simplex virus infection,293,Herpes+Simplex/cn,275
"Muscular dystrophy, Selcen type",199340,,0
Pancreatic insufficiency-anemia-hyperostosis syndrome,199337,,0
Dubin-Johnson syndrome,234,chronic+idiopathic+jaundice%5Btw%5D+OR+Dubin+Johnson%5Bti%5D+OR+jaundice%2C+chronic+idiopathic%5Bmh%5D,759
Thiamine-responsive encephalopathy,199348,,0
Takayasu arteritis,3287,%28%28%22takayasu%27s+arteritis%22%5BTw%5D+OR+Takayasu+arteritis%5BTW%5D%29+NOT+Medline%5BSB%5D%29+OR+%22takayasu%27s+arteritis%22%5BMH%5D,555
EAST syndrome,199343,,0
Extramammary Paget disease,2800,"paget%27s+disease,+extramammary%5Bmajr%5D",1595
"Isolated autosomal dominant hypomagnesemia, Glaudemans type",199326,,0
Endophthalmitis,199323,,0
Congenital lobar emphysema,1928,Congenital+lobar+emphysema+OR+Pulmonary+Emphysema/cn%5Bmajr%5D,552
Endocrine-cerebro-osteodysplasia syndrome,199332,,0
"Congenital myopathy, Paradas type",199329,,0
Congenital mesoblastic nephroma,2665,,0
Wolfram syndrome,3463,wolfram+syndrome+OR+DIDMOAD+OR+%28optic+atrophy%5Bmajr%5D+AND+diabetes+mellitus%5Bmajr%5D%29,877
Cryptosporidiosis,1549,Cryptosporidiosis%5Bmh%5D+OR+Cryptosporidiosis%5Bti%5D,5769
Isolated congenital microcephaly,199642,,0
Legionellosis,549,Legionellosis%5Bmajr%5D+OR+Legionellosis%5Bti%5D+OR+legionnaire%27s+disease%5Bti%5D,4791
Pemphigus vulgaris,704,%22pemphigus%22%5BMH%5D+OR+Pemphigus+vulgaris%5BTi%5D+OR+Pemphigus+vegetans%5Bti%5D,8762
Cerebral autosomal recessive arteriopathy-subcortical infarcts-leukoencephalopathy,199354,,0
Adult-onset dystonia-parkinsonism,199351,,0
Gerstmann-Straussler-Scheinker syndrome,356,gerstmann+straussler+scheinker+disease%5Bmh%5D+OR+Gerstmann+Straussler%5Btw%5D,792
Fatal familial insomnia,466,insomnia%2C+fatal+familial%5Bmh%5D+OR+fatal+familial+insomnia%5Bti%5D+OR+fatal+insomnia%5Bti%5D,255
Isolated cerebellar vermis hypoplasia,199630,,0
Atypical autism,199627,,0
Congenital microgastria,199293,,0
Whipple disease,3452,%22whipple+disease%22%5BMeSH+Terms%5D+OR+%28Whipple+disease%5BText+Word%5D+NOT+medline%5Bsb%5D%29,2085
Harlequin syndrome,199282,,0
Hereditary hypercarotenemia and vitamin A deficiency,199285,,0
Kawasaki disease,2331,%28mucocutaneous+lymph+node+syndrome%5Btw%5D+NOT+Medline%5BSB%5D%29+OR+mucocutaneous+lymph+node+syndrome%5Bmh%5D+OR+Kawasaki+disease%5Bti%5D,7302
Familial multiple lipomatosis,199276,,0
GTP cyclohydrolase I deficiency,2102,gtp+cyclohydrolase/df+OR+gtp+cyclohydrolase+defic*%5Btw%5D,100
Familial angiolipomatosis,199279,,0
Calcifying aponeurotic fibroma,199260,,0
Immune thrombocytopenia,3002,purpura%2C+thrombocytopenic%2C+idiopathic%5Bmajr%5D+OR+%28%28autoimmu*%5Bti%5D+OR+idiopat*%5Bti%5D+OR+immune%5Bti%5D%29+thrombocytopenic+purp*%5Bti%5D%29,7762
Infantile digital fibromatosis,199267,,0
Familial clubfoot with or without associated lower limb anomalies,199315,,0
Congenital respiratory-biliary fistula,2040,,0
15q13.3 microdeletion syndrome,199318,,0
Tetragametic chimerism,199310,,0
Bronchogenic cyst,2357,bronchogenic+cyst%5Bmajr%5D,1175
Bernard-Soulier syndrome,274,bernard+soulier+syndrome%5Bmh%5D+OR+Bernard+Soulier+syndrome%5Bti%5D,526
Congenital atransferrinemia,1195,,0
Isolated cleft lip,199302,,0
Cleft lip/palate,199306,,0
Acatalasemia,926,acatalasemia%5Bti%5D+OR+acatalasaemia%5Bti%5D+OR+acatalasia%5Bmh%5D,274
Ramsay Hunt syndrome,3020,,0
Congenital isolated ACTH deficiency,199296,,0
Late-onset isolated ACTH deficiency,199299,,0
Dihydropyrimidine dehydrogenase deficiency,1675,dihydrouracil+dehydrogenase+%28nadp%29/df+OR+%28Dihydropyrimidine+dehydrogenase%5Bti%5D+deficiency%5Bti%5D%29+OR+Pyrimidinemia%5Bti%5D,310
Cushing syndrome due to macronodular adrenal hyperplasia,189427,,0
Adenine phosphoribosyltransferase deficiency,976,adenine+phosphoribosyltransferase/df%5Bmajr%5D,198
Sarcosinemia,3129,Sarcosinemia+OR+sarcosinaemia+OR+%28sarcosine+dehydrogenase%5Bti%5D+AND+%28deficien*%5Bti%5D+OR+defect*%5Bti%5D%29%29,33
Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome,415,%28Triple+H+syndrome%5Btw%5D+OR+HHH+syndrome%5Btw%5D%29+AND+ornithine+OR+hyperornithinemia+hyperammonemia+homocitrullinuria%5Btw%5D,92
6-pyruvoyl-tetrahydropterin synthase deficiency,13,%286-pyruvoyltetrahydropterin+synthase%5Bnm%5D+OR+6-pyruvoyl+tetrahydropterin+synt*%5Btw%5D%29+deficiency,136
Ménétrier disease,2494,gastritis%2C+hypertrophic%5Bmh%5D+OR+Menetrier%27s+disease%5Bti%5D+OR+hypertrophic+gastritis%5Bti%5D+OR+Menetrier+disease%5Bti%5D,841
Primary sclerosing cholangitis,171,%22cholangitis%2C+sclerosing%22%5BMH%5D+OR+Sclerosing+cholangitis%5BTi%5D,4874
Ledderhose disease,199251,,0
Corticosteroid-binding globulin deficiency,199247,,0
Nelson syndrome,199244,,0
Pulmonary capillary hemangiomatosis,199241,,0
Atypical hemolytic uremic syndrome,2134,%28Hemolytic+Uremic+%5Bti%5D+OR+Hemolytic+Uremic+Syndrome%5Bmh%5D%29+AND+atypical,1378
Familial isolated hypoparathyroidism due to impaired PTH secretion,189466,,0
Fatal infantile lactic acidosis with methylmalonic aciduria,17,acidosis%2C+lactic/cn+OR+%28Lactic+acidosis%5Bti%5D+AND+%28congenital%5Bsh%5D+OR+congenital%5Bti%5D%29%29+AND+%28infantile%5Btw%5D+OR+infant%5Bmh%5D%29,84
Primary pigmented nodular adrenocortical disease,189439,,0
Pyridoxine-dependent epilepsy,3006,%28epilepsy%5Bmh%5D+OR+epilepsy%5Bti%5D%29+%28vitamin+b+6%5Btw%5D+OR+vitamin+b+6%5Bmh%5D+OR+pyridoxine%5Bmh%5D+OR+pyridoxine%5Btw%5D%29+dependent%5Btw%5D,246
Rhabdomyosarcoma,780,%22rhabdomyosarcoma%22%5BMeSH+Major+Topic%5D+OR+%28Rhabdomyosarcoma%5BTW%5D+AND+%28embryonal%5Btw%5D+OR+alveolar%5Btw%5D%29%29,9013
Rotor syndrome,3111,Rotor+syndrome%5Btw%5D+OR+Rotor%27s+syndrome%5Btw%5D+OR+%28Hyperbilirubinemia%2C+Hereditary%5Bmh%5D+AND+rotor%5Btw%5D%29,139
Lennox-Gastaut syndrome,2382,Lennox-Gastaut%5Bti%5D+AND+%28%22syndrome%22%5BMH%5D+OR+syndrome%5BTW%5D%29,517
Subacute sclerosing leukoencephalitis,2806,subacute+sclerosing+panencephalitis%5Bti%5D+OR+subacute+sclerosing+panencephalitis%5Bmh%5D+OR+Subacute+sclerosing+leukoencephalitis%5Bti%5D,2524
Early infantile epileptic encephalopathy,1934,%28early%5Bti%5D+OR+infantile%5Bti%5D%29+AND+epileptic+encephalopath*%5Btw%5D+OR+%28Ohtahara+syndrome%5Btw%5D%29,642
Tay-Sachs disease,845,tay-sachs+disease%5Bmajr%5D,946
Myoclonic-astatic epilepsy,1942,%28epilepsy%5Bmh%5D+OR+epileps*%5Bti%5D%29+%28myoclonus%5Bmh%5D+OR+myoclon*%5Btw%5D%29+astatic%5Btw%5D,234
Early myoclonic encephalopathy,1935,%28early%5Bti%5D+OR+neonatal%5Bti%5D+OR+infantile%5Bti%5D+OR+Precocious%5Bti%5D%29+AND+myoclonic+encephalopath*%5Btw%5D,94
Early-onset progressive encephalopathy with migrant continuous myoclonus,1943,,0
Infantile spasms syndrome,3451,infantile+spasms%5Bti%5D+OR+West+syndrome%5BTi%5D+OR+West%27s+syndrome%5BTi%5D+OR+spasms%2C+infantile%5Bmajr%5D,3159
Tetanus,3299,Tetanus%5Bmajr%5D+OR+%28Tetanus%5Bti%5D+NOT+medline%5Bsb%5D%29+NOT+tetanus+toxoid+AND+%28humans+OR+child+OR+patient*%29,3231
Asbestos intoxication,2302,%28Asbestos/po+OR+Asbestosis%5Bti%5D+OR+Asbestosis%5Bmh%5D%29+humans,4236
Rabies,770,%28Rabies%5Bmh%5D+AND+%28humans+OR+patient*+OR+human%29%29+OR+%28Rabies%5Bti%5D+AND+medline%5Bsb%5D%29,11593
American trypanosomiasis,3386,chagas+disease%5Bti%5D+OR+American+trypanosomiasis%5Bti%5D+OR+chagas+disease%5Bmh%5D,14129
Calpain-3-related  limb-girdle muscular dystrophy R1,267,,0
Complete atrioventricular septal defect,1329,Complete+atrioventricular%5Btw%5D+AND+%28endocardial+cushion+defect*%5Btw%5D+OR+endocardial+cushion+defects%5Bmh%5D+OR+atrioventricular+canal%5Btw%5D%29,385
Mucopolysaccharidosis type 4,582,mucopolysaccharidosis+iv%5Bmajr%5D,920
Autoimmune hepatitis,2137,%22hepatitis%2C+autoimmune%22%5BMeSH+Terms%5D+OR+Autoimmune+hepatitis%5BText+Word%5D,6635
Primary biliary cholangitis,186,Primary+biliary+cirrhosis%5BTi%5D+OR+%28%22liver+cirrhosis%2C+biliary%22%5BMeSH+Major+Topic%5D+AND+primary%5Btw%5D%29,5575
Arnold-Chiari malformation type II,1136,%28chiari%5Bti%5D+AND+malformation%5BTi%5D+NOT+Medline%5BSB%5D%29+OR+arnold-chiari+malformation%5BMajr%5D,3190
Giant cell arteritis,397,temporal+arteritis%5Bti%5D+OR+temporal+arteritis%5Bmh%5D+OR+Giant+cell+arteritis%5Bti%5D+OR+Horton+Disease%5Bti%5D,7285
Chronic inflammatory demyelinating polyneuropathy,2932,,0
Multiple symmetric lipomatosis,2398,%28multiple+OR+familial+OR+benign%29+symmetric+lipomatosis+OR+Lipomatosis%2C+Multiple+Symmetrical,702
Dermatitis herpetiformis,1656,dermatitis+herpetiformis%5BMajr%5D+OR+Dermatitis+herpetiformis%5BTi%5D,2227
May-Hegglin thrombocytopenia,850,May+Hegglin%5Btw%5D,237
Stiff person spectrum disorder,3198,stiff+person+syndrome%5Bti%5D+OR+Stiff+man+syndrome%5Bti%5D+OR+stiff+person+syndrome%5Bmh%5D,910
Juvenile polyposis syndrome,2929,%28Juvenile%5Bti%5D+OR+infant*%5Bti%5D+OR+adolescent%5Bti%5D+OR+child*%5Bti%5D%29+AND+%28gastrointestinal+polyposis%5Btw%5D+OR+intestinal+polyposis%29,577
Budd-Chiari syndrome,131,hepatic+vein+thrombosis%5Btiab%5D+OR+hepatic+vein+thrombosis%5Bmh%5D+OR+budd-chiari+syndrome%5Btiab%5D,4191
Niemann-Pick disease type C,646,npc1*[ti]+OR+npc2*[ti]+OR+niemann+pick+C*[tw]+OR+niemann+pick+d[tw]+OR+%28niemann+pick[ti]+%28type+d*[tw]+OR+type+c*[tw]%29%29,2361
Nephroblastoma,654,%22nephroblastoma%22%5BMeSH+Terms%3Anoexp%5D+OR+%28nephroblastoma%5BText+Word%5D+NOT+medline%5Bsb%5D%29,171
Whooping cough,1489,whooping+cough%5Bmajr%5D,7213
Osteochondritis dissecans,2764,osteochondritis+dissecans%5Bti%5D+OR+osteochondritis+dissecans%5Bmajr%5D,1769
Myeloperoxidase deficiency,2587,Myeloperoxidase+deficiency%5Btw%5D+OR+myeloperoxidase%5Btw%5D+peroxidase/df,250
Tuberculosis,3389,tuberculosis%5Bmajr%5D+AND+review%5Bpt%5D,9540
Diphtheria,1679,diphtheria%5Bmajr%5D,5673
Botulism,1267,%28botulism%5Bmh%5D+OR+Botulism%5Bti%5D%29+AND+%28humans+OR+clinical+OR+patient*%29,2525
Pityriasis rubra pilaris,2897,Pityriasis+rubra+pilaris%5Bti%5D+OR+Pityriasis+rubra+pilaris%5Bmh%5D,788
Hyper-IgM syndrome without susceptibility to opportunistic infections,183666,,0
Eosinophilic gastroenteritis,2070,Eosinophilic%5Bti%5D+AND+%28gastroenteritis+OR+colitis+OR+gastritis%29,3143
Hyper-IgM syndrome with susceptibility to opportunistic infections,183663,,0
Transient familial neonatal hyperbilirubinemia,2312,%28Hyperbilirubinemia%5Bti%5D+neonatal%5Bti%5D+OR+jaundice+neonatal%29+%28breast+milk+OR+breast+feeding%29,552
Neutrophil immunodeficiency syndrome,183707,,0
Autosomal dominant hyper-IgE syndrome,2314,%22job%27s+syndrome%22%5BMH%5D+OR+Job+syndrome%5BTi%5D,24
Hermansky-Pudlak syndrome with neutropenia,183678,,0
Hepatoblastoma,449,Hepatoblastoma%5Bmh%5D+OR+Hepatoblastoma%5Bti%5D,2487
Recurrent infections associated with rare immunoglobulin isotypes deficiency,183675,,0
Hydranencephaly,2177,hydranencephaly%5Bmh%5D+OR+Hydranencephaly%5Bti%5D,483
Listeriosis,533,Listeriosis%5Bti%5D+OR+listeria+infections%5Bmh%5D,8469
Bacterial susceptibility due to TLR signaling pathway deficiency,183713,,0
Laryngocele,2372,Laryngocele%5Bti%5D,327
Legg-Calvé-Perthes disease,2380,Legg+Calve+Perthes%5Bti%5D+OR+legg+perthes+disease%5Bmh%5D,2031
Progressive supranuclear palsy,683,supranuclear+palsy%2C+progressive%5Bmh%5D+OR+progressive+supranuclear+palsy%5Bti%5D+OR+Steele+Richardson+Olszewski%5Bti%5D,3030
Pancreatoblastoma,677,pancreatoblastoma+AND+%28infantile+OR+infant+OR+child+OR+adolescent+OR+pediatric%29,211
Waardenburg-Shah syndrome,897,(waardenburg,1346
Seckel syndrome,808,dwarfism%5Bmajr%5D+AND+seckel%5Btw%5D+NOT+%28seckel*like%5Btw%5D+OR+non*seckel%5Btw%5D%29,107
Lown-Ganong-Levine syndrome,844,,0
Caudal regression sequence,3027,%28sacral+agenesis%5Bti%5D+OR+Caudal+regression%5Btw%5D%29+AND+%28sequence%5Bti%5D+OR+syndrome%5Bti%5D+OR+anomal*%5Bti%5D+OR+Spinal+Dysraphism%29,256
Hereditary chronic pancreatitis,676,pancreatitis/cn+OR+%28hereditary+pancreatitis%5Btw%5D+AND+pancreatitis%5Bmh%5D%29,481
Giant axonal neuropathy,643,%28giant%5BTW%5D+AND+%28axonal%5Btw%5D+OR+%22axons/pathology%22%5BMh%5D%29+AND+neuropathy%5Btw%5D%29+OR+giant+axonal+neuropathy%5Btw%5D,281
Netherton syndrome,634,Netherton%5Btw%5D,389
Campomelic dysplasia,140,Campomelic+dysplasia%5Btw%5D,265
Young-onset Parkinson disease,2828,%28%22parkinson+disease%22%5BMH%5D+OR+%28Parkinson+disease%5BTW%5D+NOT+medline%5Bsb%5D%29%29+AND+genetic%5Btw%5D,6819
Hereditary sensory and autonomic neuropathy type 4,642,"neuropathies,hereditary+sensory+and+autonomic%5Bmajr:noexp%5D+AND+%28type+4%5Btw%5D+OR+type+iv%5Btw%5D%29",61
Nance-Horan syndrome,627,Nance-Horan%5BTW%5D,69
Neurofibromatosis-Noonan syndrome,638,+%28neurofibromatosis+1%5Bmh%5D+AND+noonan+syndrome%5Bmh%5D%29+OR+%28neurofibromatosis%5Bti%5D+AND+noonan%5Bti%5D%29,90
Congenital factor V deficiency,326,Factor+V+deficiency%5Bmh%5D+OR+Factor+V+deficiency%5BTi%5D,891
Liddle syndrome,526,Liddle+syndrome%5Btw%5D+OR+%28Hypertensi*%5Bti%5D+AND+hypokalemia%5Bti%5D+AND+%28familial+OR+congenital%29%29+OR+Pseudohyperaldosteronism,416
LCAT deficiency,650,phosphatidylcholine+sterol+acyltransferase/df+OR+lcat+defic*%5Btw%5D+OR+Fish-eye+disease%5Btw%5D,580
Familial hypoaldosteronism,427,hypoaldosteronism+AND+%28familial+OR+congenital%29+OR+aldosterone+synthase/df,149
Congenital stationary night blindness,215,%28night+blindness%5Bmh%5D+OR+Night+blindness%5BTi%5D%29+AND+%28congenital%5Bsh%5D+OR+congenital%5BTi%5D%29+AND+stationary,289
Familial Mediterranean fever,342,%28%28Mediterranean+fever%5BText+Word%5D+AND+familial%5BAll+Fields%5D%29+NOT+medline%5Bsb%5D%29+OR+%22familial+mediterranean+fever%22%5BMeSH+Terms%5D,4217
Choroideremia,180,choroideremia%5Bmh%5D+OR+Choroideremia%5Bti%5D,488
Congenital factor VII deficiency,327,%22factor+vii+deficiency%22%5BMH%5D+OR+Factor+VII+deficiency%5BTi%5D,1156
Simpson-Golabi-Behmel syndrome,373,(%22Golabi+Rosen%22+OR+(Golabi%5Btiab%5D+Behmel%5Btiab%5D)),317
Familial hyperaldosteronism type I,403,hyperaldosteronism%5Bmajr]+AND+%28dexamethasone%5Bti]+OR+glucocorticoid*%5Bti]%29,151
Monosomy 21,574,(Monosomy+21%5Bti%5D+OR+(chromosome+21+monosomy))+NOT+(partial+OR+distal+OR+telomer*+OR+21p*%5Bti%5D+OR+21q*%5Bti%5D),57
Multiple endocrine neoplasia type 2,653,,0
Differentiated thyroid carcinoma,146,"Thyroid+Neoplasms%5Bmajr%5D+(Papillary%5Bti%5D+OR+papillary+carcinoma)+OR+Adenocarcinoma,+Follicular",18750
Familial prostate cancer,1331,%28prostatic+neoplasm*%5Bti%5D+OR+prostatic+neoplasms%5Bmh%5D+OR+prostate+cancer%5Bti%5D%29+AND+%28familial%5Btw%5D+OR+hereditary%5Btw%5D%29,1060
Carnitine palmitoyltransferase II deficiency,157,carnitine+o-palmitoyltransferase/deficiency%5BMh%5D+AND+%28CPT2%5Btw%5D+OR+CPTII%5Btw%5D+OR+II%5Btw%5D%29,220
Alpha-thalassemia-X-linked intellectual disability syndrome,847,X+linked+AND+%28alpha+thalassemia%5Btw%5D+OR+alpha+thalassaemia%5Btw%5D+OR+alpha-thalassemia%5Bmh%5D%29,373
Ring chromosome 22 syndrome,1446,(Chromosome+22+(ring+chromosomes%5Bmh%5D+OR+ring+chromosome*%5Btw%5D))+OR+ring+chromosome+22%5Btw%5D,129
ICF syndrome,2268,,0
Joubert syndrome,475,joubert+boltshauser%5Btw%5D+OR+joubert+synd*%5Btw%5D+OR+%28cerebell*%5Bti%5D+vermis%5Bti%5D+agenesis%5Bti%5D%29,833
Holt-Oram syndrome,392,%28Holt+Oram%5Btw%5D+AND+syndrome%29+OR+%28tbx5+AND+congenital+heart+defect%5Btw%5D%29,483
Bazex-Dupré-Christol syndrome,113,%28skin+diseases+OR+basal+cell+carcinoma%29+%28bazex%5Btw%5D+OR+%28follicular%5Bti%5D+atrophoderma%5Bti%5D%29%29,208
Familial abdominal aortic aneurysm,86,aortic+aneurysm%2C+abdominal%5Bmajr%5D+OR+abdominal+aortic+aneurysm%5Bti%5D,20193
"46,XX gonadal dysgenesis",243,gonadal+dysgenesis%2C46%2C+XX%5Bmh%5D+OR+%28gonadal+dysgenesis%5Btw%5D+AND+%28XX%5Bti%5D+OR+hypergonadotrop*%5Bti%5D%29%29,281
Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,136,%22cadasil%22%5BMeSH+Terms%5D+OR+CADASIL%5BText+Word%5D,1463
Congenital bilateral absence of vas deferens,48,%28vas+deferens/ab%5Bmh%5D+OR+%28Vas+deferens%5Bti%5D+%28abnormalities+OR+aplasia%5Btw%5D+OR+absence%5Btw%5D%29%29%29+bilateral%5Btw%5D,366
Extragonadal germinoma,182127,,0
Congenital generalized lipodystrophy,528,"Berardinelli%5Btw%5D+lipodystrophy+OR+Lipodystrophy,+Congenital+Generalized",507
Severe combined immunodeficiency due to DCLRE1C deficiency,275,%28scid%5Bti%5D+OR+severe+combined+immunodeficiency%5Bmh%5D%29+%28Glanzmann+Riniker%5Btw%5D+OR+artemis+OR+rag1+OR+rag2+OR+rag%29+NOT+omenn*%5Bti%5D,275
Cherubism,184,cherubism%5BMH%5D+OR+Cherubism%5Bti%5D,484
Chylomicron retention disease,71,Anderson+disease%5Btw%5D+OR+Chylomicron+retention+disease%5Btw%5D+OR+sara2%5Btw%5D,88
Benign familial neonatal epilepsy,1949,%28benign%5Bti%5D+AND+neonatal%5Bti%5D+AND+%28seizure*%5Bti%5D+OR+epilepsy%5Bti%5D+OR+convulsion*%5Bti%5D%29%29+OR+Epilepsy%2C+Benign+Neonatal%5Bmh%5D,408
Hidrotic ectodermal dysplasia,189,%28ectodermal+dysplasia%5BTi%5D+OR+ectodermal+dysplasia%5BMH%5D%29+AND+%28hydrotic%5Btw%5D+OR+hidrotic%5Btw%5D%29+OR+Clouston+syndrome%5BTW%5D,147
Uveal coloboma-cleft lip and palate-intellectual disability,1473,Eye+Abnormalities%5Bmh%5D+AND+coloboma*%5Bti%5D+AND+%28cleft+lip%5Bmh%5D+OR+cleft+palate%5Bmh%5D+OR+cleft*%5Bti%5D%29,28
Atrial standstill,1344,%28heart+atria%5Bmh%5D+OR+Atrial%5Bti%5D%29+AND+cardiomyopathies%5Bmh%5D+AND+%28heart+block%5Bmh%5D+OR+heart+block%5Bti%5D%29,130
MYH9-related disease,182050,,0
Roberts syndrome,3103,Roberts+syndrome%5Bti%5D+OR+pseudothalidomide+syndrome%5Btw%5D+or+SC+syndrome%5Btw%5D+OR+SC+phocomelia+syndrome%5Btw%5D,160
Peters plus syndrome,709,%28Peters+plus%5Btw%5D+OR+kivlin%5Btw%5D%29+AND+syndrome+OR+%28Peters+anomaly%5Btw%5D+AND+dwarfism%5Btw%5D%29,76
Lujan-Fryns syndrome,776,mental+retardation%5Ball%5D+%28marfan*%5Bti%5D+OR+Lujan-Fryns%29,89
PIBIDS syndrome,670,PIBIDS+OR+%28Trichothiodystrophy%5Bti%5D+%28type+F%5BAll%5D+OR+photosensitivity+disorders+OR+photosensitive+OR+sun+sensitivity%29%29,111
Werner syndrome,902,werner+syndrome%5BMH%5D+OR+Werner+syndrome%5BTi%5D,1534
Van der Woude syndrome,888,%28Van+Der+Woude%5Btw%5D+OR+lip+pits%5Btw%5D%29+AND+%28cleft+lip%5Btw%5D+OR+cleft+lip%5BMH%5D+OR+irf6%5Btw%5D+OR+Van+Der+Woude%5Bti%5D%29,372
IBIDS syndrome,453,Trichothiodystrophy%5BAll%5D+AND+%28xpd%5Btw%5D+OR+xpb%5Btw%5D+OR+ercc2%5Btw%5D%29,170
Familial progressive cardiac conduction defect,871,,0
Distal monosomy 17q,1597,,0
Distal monosomy 13q,1590,,0
Monosomy 13q14,1587,Deletion+13q%5Btw%5D+OR+monosomy+13q%5Btw%5D+OR+%28chromosomes%2Chuman%2Cpair+13%5Bmajr%5D+AND+chromosome+deletion%5Bmajr%5D+AND+13q%5Btw%5D%29,226
3q13 microdeletion syndrome,1621,,0
Distal monosomy 3p,1620,((chromosome+3+(monosomy%5Bmh%5D)+OR+deletion%5Bti%5D+OR+monosom*%5Bti%5D+OR+loss%5Bti%5D)+3p%5Bti%5D)+NOT+(trisomy+3p%5Bti%5D+OR+interstitial%5Bti%5D),248
Xp22.3 microdeletion syndrome,1643,(deletion+OR+monosomy)+(Xp%5Bti%5D+OR+%22Xp22.3%22)+(Xpter+OR+pter%5Btw%5D+OR+terminal+deletion*%5Btw%5D+OR+terminal%5Bti%5D+OR+distal%5Bti%5D),63
